id,substation_id,substation_name,substation_latitude,substation_longitude,turbine_name,turbine_latitude,turbine_longitude,string,order,cable_length,bury_speed
DHM_H6,DOW_OSS,DOW_OSS,53.2648,1.378767,DHM_H6,53.25205,1.443717,7,5,1.0826705615053243,0.0
DFF_T1,DOW_OSS,DOW_OSS,53.2648,1.378767,DFF_T1,53.270067000000004,1.3837,8,0,0.7448516504572962,0.0
DFG_T2,DOW_OSS,DOW_OSS,53.2648,1.378767,DFG_T2,53.26485,1.394933,8,1,1.0331136459759498,0.0
DDJ_T3,DOW_OSS,DOW_OSS,53.2648,1.378767,DDJ_T3,53.242917000000006,1.415133,8,2,2.963778410722241,0.0
DDK_T4,DOW_OSS,DOW_OSS,53.2648,1.378767,DDK_T4,53.237733,1.426317,8,3,1.0284402146670273,0.0
DCK_T5,DOW_OSS,DOW_OSS,53.2648,1.378767,DCK_T5,53.225832999999994,1.424733,8,4,1.4337837582034247,0.0
DDG_J1,DOW_OSS,DOW_OSS,53.2648,1.378767,DDG_J1,53.2533,1.3928,9,0,1.7023415648807265,0.0
DDH_J2,DOW_OSS,DOW_OSS,53.2648,1.378767,DDH_J2,53.24811700000001,1.403967,9,1,1.027280232696588,0.0
DCJ_J3,DOW_OSS,DOW_OSS,53.2648,1.378767,DCJ_J3,53.231017,1.413567,9,2,2.1461800737079226,0.0
DAL_J4,DOW_OSS,DOW_OSS,53.2648,1.378767,DAL_J4,53.216832999999994,1.4172,9,3,1.7154057395604148,0.0
DAM_J5,DOW_OSS,DOW_OSS,53.2648,1.378767,DAM_J5,53.212317000000006,1.42695,9,4,0.9017908059906563,0.0
DDF_K1,DOW_OSS,DOW_OSS,53.2648,1.378767,DDF_K1,53.258467,1.381633,10,0,0.8060194210588901,0.0
DCF_K2,DOW_OSS,DOW_OSS,53.2648,1.378767,DCF_K2,53.2466,1.380017,10,1,1.4301185152736355,0.0
DCG_K3,DOW_OSS,DOW_OSS,53.2648,1.378767,DCG_K3,53.241417000000006,1.3912,10,2,1.0282603120117402,0.0
DCH_K4,DOW_OSS,DOW_OSS,53.2648,1.378767,DCH_K4,53.236217,1.402383,10,3,1.0295517672930494,0.0
DAK_K5,DOW_OSS,DOW_OSS,53.2648,1.378767,DAK_K5,53.221367,1.407467,10,4,1.8098434233092768,0.0
DCE_L1,DOW_OSS,DOW_OSS,53.2648,1.378767,DCE_L1,53.251782999999996,1.368833,11,0,1.7106807893641431,0.0
DAF_L2,DOW_OSS,DOW_OSS,53.2648,1.378767,DAF_L2,53.239433,1.368533,11,1,1.4820725322532888,0.0
DAG_L3,DOW_OSS,DOW_OSS,53.2648,1.378767,DAG_L3,53.234917,1.37825,11,2,0.8996838448243846,0.0
DAH_L4,DOW_OSS,DOW_OSS,53.2648,1.378767,DAH_L4,53.2304,1.3880000000000001,11,3,0.9016346494114023,0.0
DAJ_L5,DOW_OSS,DOW_OSS,53.2648,1.378767,DAJ_L5,53.225882999999996,1.39775,11,4,0.9016915010023313,0.0
