                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.783962       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -7.92318249439850e-03
 9.99429683992583e-01 -9.26673346977216e-03
 9.98063017832965e-01 -1.24559705483336e-02
 9.95573914266674e-01 -1.81555150271264e-02
 9.92086309749559e-01 -2.59084959824417e-02
 9.87686148675057e-01 -3.53112105853501e-02
 9.82330525170640e-01 -4.62024829715563e-02
 9.76011908335692e-01 -5.83006163725498e-02
 9.68787467298381e-01 -7.11823142296098e-02
 9.60674860259240e-01 -8.45055487792604e-02
 9.51675358763677e-01 -9.79648801479522e-02
 9.41827652746244e-01 -1.11225772855891e-01
 9.31175295355131e-01 -1.22749769824351e-01
 9.19730397431178e-01 -1.34305023669222e-01
 9.07524559194720e-01 -1.47123072012410e-01
 8.94610408070308e-01 -1.60209489916394e-01
 8.81009696499435e-01 -1.73610087625575e-01
 8.66747905197194e-01 -1.87233194468671e-01
 8.51890258171205e-01 -2.00891121268702e-01
 8.36469462621421e-01 -2.14651251994021e-01
 8.20513485943698e-01 -2.28299124099555e-01
 8.04073832217581e-01 -2.41742919046948e-01
 7.87191529885653e-01 -2.55266695219229e-01
 7.69897919101553e-01 -2.68487345974613e-01
 7.52252341235159e-01 -2.81182098920694e-01
 7.34291349178558e-01 -2.93500929200581e-01
 7.16044924955764e-01 -3.05268500127515e-01
 6.97571640033109e-01 -3.16293535256611e-01
 6.78906186433687e-01 -3.26495909908497e-01
 6.60080312620540e-01 -3.36159970346770e-01
 6.41147517137212e-01 -3.44879840431421e-01
 6.22137650968852e-01 -3.52819580457692e-01
 6.03087998194415e-01 -3.59974452815525e-01
 5.84045042118975e-01 -3.66342623497115e-01
 5.65030897687003e-01 -3.72014153593769e-01
 5.46088602779599e-01 -3.76957993992416e-01
 5.27248673916899e-01 -3.80981580252469e-01
 5.08535950506088e-01 -3.84289319300435e-01
 4.89992355470388e-01 -3.86997003925511e-01
 4.71632114506831e-01 -3.88760078554677e-01
 4.53492503744348e-01 -3.90105829773218e-01
 4.35593302897673e-01 -3.90540478797316e-01
 4.17956065616942e-01 -3.90368588102132e-01
 4.00609748442576e-01 -3.89670930256517e-01
 3.83560931606009e-01 -3.88464796580290e-01
 3.66843215733716e-01 -3.86643942242085e-01
 3.50457316320503e-01 -3.84203436489136e-01
 3.34434484008630e-01 -3.81514382353074e-01
 3.18774100329315e-01 -3.78087835545617e-01
 3.03499623121295e-01 -3.74316415870212e-01
 2.88611293565648e-01 -3.70126473278071e-01
 2.74124386665666e-01 -3.65722917693345e-01
 2.60041455523719e-01 -3.60654122970960e-01
 2.46374872015918e-01 -3.55408978737953e-01
 2.33123443938833e-01 -3.49704245140584e-01
 2.20293777810423e-01 -3.43905417183927e-01
 2.07883282965331e-01 -3.37719104536670e-01
 1.95902956391646e-01 -3.31259265467667e-01
 1.84341253066628e-01 -3.24636892481645e-01
 1.73213930954161e-01 -3.17630957695797e-01
 1.62499176129638e-01 -3.10608151747864e-01
 1.52214602777259e-01 -3.03241799312563e-01
 1.42331759398971e-01 -2.95789052094880e-01
 1.32872111539190e-01 -2.88180848250692e-01
 1.23806439629760e-01 -2.80408720121856e-01
 1.15147623386077e-01 -2.72449695194695e-01
 1.06887208802748e-01 -2.64508060631940e-01
 9.90071115215634e-02 -2.56305180872354e-01
 9.15234043853440e-02 -2.48114935325505e-01
 8.43970428172224e-02 -2.39766834839132e-01
 7.76464790199521e-02 -2.31340814693882e-01
 7.12479082120208e-02 -2.22932410578773e-01
 6.51878662973747e-02 -2.14353932541396e-01
 5.94874721274203e-02 -2.05840989222265e-01
 5.41002464180900e-02 -1.97365798318080e-01
 4.90378786701877e-02 -1.88882002532066e-01
