                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.245805       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.75990440770231e-03
 9.99429683992583e-01 -3.66752027806322e-03
 9.98063017832965e-01 -3.44818534207939e-03
 9.95573914266674e-01 -3.05606349459618e-03
 9.92086309749559e-01 -2.52234625945823e-03
 9.87686148675057e-01 -1.87450547151767e-03
 9.82330525170640e-01 -1.12322710655412e-03
 9.76011908335692e-01 -2.87388969772279e-04
 9.68787467298381e-01  6.04440851091743e-04
 9.60674860259240e-01  1.52937979533949e-03
 9.51675358763677e-01  2.46717040647011e-03
 9.41827652746244e-01  3.39559328737635e-03
 9.31175295355131e-01  4.20900749748713e-03
 9.19730397431178e-01  4.86881459177742e-03
 9.07524559194720e-01  5.30814999072061e-03
 8.94610408070308e-01  5.45132969947500e-03
 8.81009696499435e-01  5.28605775524998e-03
 8.66747905197194e-01  4.74622121483786e-03
 8.51890258171205e-01  3.84904055335619e-03
 8.36469462621421e-01  2.55204403247583e-03
 8.20513485943698e-01  8.21206842421245e-04
 8.04073832217581e-01 -1.37042829408342e-03
 7.87191529885653e-01 -4.09270259563139e-03
 7.69897919101553e-01 -7.38641795020445e-03
 7.52252341235159e-01 -1.12454131952639e-02
 7.34291349178558e-01 -1.56456720665600e-02
 7.16044924955764e-01 -2.05252976254679e-02
 6.97571640033109e-01 -2.58424979430242e-02
 6.78906186433687e-01 -3.15583672371449e-02
 6.60080312620540e-01 -3.76020517084688e-02
 6.41147517137212e-01 -4.38890302956486e-02
 6.22137650968852e-01 -5.03256605726844e-02
 6.03087998194415e-01 -5.68115097018997e-02
 5.84045042118975e-01 -6.32626254924225e-02
 5.65030897687003e-01 -6.95883103092317e-02
 5.46088602779599e-01 -7.57073181961573e-02
 5.27248673916899e-01 -8.15514291061093e-02
 5.08535950506088e-01 -8.70533858291732e-02
 4.89992355470388e-01 -9.21796764071584e-02
 4.71632114506831e-01 -9.68717805081323e-02
 4.53492503744348e-01 -1.01097588472419e-01
 4.35593302897673e-01 -1.04842317593591e-01
 4.17956065616942e-01 -1.08125111044640e-01
 4.00609748442576e-01 -1.10927439301789e-01
 3.83560931606009e-01 -1.13285671526516e-01
 3.66843215733716e-01 -1.15186613113703e-01
