                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.342885       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.41054167205762e-03
 9.99429683992583e-01 -2.41566431373840e-03
 9.98063017832965e-01 -2.42773425876196e-03
 9.95573914266674e-01 -2.44897183600213e-03
 9.92086309749559e-01 -2.47711015332846e-03
 9.87686148675057e-01 -2.50991618436853e-03
 9.82330525170640e-01 -2.54578964249630e-03
 9.76011908335692e-01 -2.58238812096317e-03
 9.68787467298381e-01 -2.61664105382280e-03
 9.60674860259240e-01 -2.64545272532110e-03
 9.51675358763677e-01 -2.66547114608142e-03
 9.41827652746244e-01 -2.67298750771565e-03
 9.31175295355131e-01 -2.66414481715727e-03
 9.19730397431178e-01 -3.07677793430147e-03
 9.07524559194720e-01 -3.19345500350786e-03
 8.94610408070308e-01 -3.74467898348666e-03
 8.81009696499435e-01 -4.78847963390241e-03
 8.66747905197194e-01 -6.37558168947346e-03
 8.51890258171205e-01 -8.53009361305923e-03
 8.36469462621421e-01 -1.12859659643477e-02
 8.20513485943698e-01 -1.46454159655237e-02
 8.04073832217581e-01 -1.85984537244399e-02
 7.87191529885653e-01 -2.31425197030440e-02
 7.69897919101553e-01 -2.82905764582813e-02
 7.52252341235159e-01 -3.40281042466782e-02
 7.34291349178558e-01 -4.03166972328718e-02
 7.16044924955764e-01 -4.71017772676823e-02
 6.97571640033109e-01 -5.43030436851661e-02
 6.78906186433687e-01 -6.18527826459504e-02
 6.60080312620540e-01 -6.96392550219496e-02
 6.41147517137212e-01 -7.75618179187583e-02
 6.22137650968852e-01 -8.55247183384108e-02
 6.03087998194415e-01 -9.34361895204014e-02
 5.84045042118975e-01 -1.01193080782975e-01
 5.65030897687003e-01 -1.08735653256240e-01
 5.46088602779599e-01 -1.15998644264814e-01
 5.27248673916899e-01 -1.22913431016833e-01
 5.08535950506088e-01 -1.29449507575913e-01
 4.89992355470388e-01 -1.35566113807718e-01
 4.71632114506831e-01 -1.41240565752361e-01
 4.53492503744348e-01 -1.46436433223498e-01
 4.35593302897673e-01 -1.51137104273076e-01
 4.17956065616942e-01 -1.55306207423742e-01
 4.00609748442576e-01 -1.58944621540348e-01
 3.83560931606009e-01 -1.62068853094181e-01
 3.66843215733716e-01 -1.64698706494857e-01
 3.50457316320503e-01 -1.66847708602800e-01
 3.34434484008630e-01 -1.68525720092814e-01
 3.18774100329315e-01 -1.69756911427436e-01
 3.03499623121295e-01 -1.70561366541997e-01
 2.88611293565648e-01 -1.70955887658261e-01
 2.74124386665666e-01 -1.70936570759329e-01
 2.60041455523719e-01 -1.70557655982448e-01
 2.46374872015918e-01 -1.69813654846260e-01
 2.33123443938833e-01 -1.68734455186585e-01
 2.20293777810423e-01 -1.67332625601430e-01
 2.07883282965331e-01 -1.65637339799253e-01
 1.95902956391646e-01 -1.63672757651884e-01
 1.84341253066628e-01 -1.61451080404703e-01
 1.73213930954161e-01 -1.59001362300814e-01
 1.62499176129638e-01 -1.56338476175059e-01
 1.52214602777259e-01 -1.53472452962722e-01
 1.42331759398971e-01 -1.50413165554771e-01
 1.32872111539190e-01 -1.47189508282407e-01
 1.23806439629760e-01 -1.43802488997896e-01
 1.15147623386077e-01 -1.40283203308783e-01
 1.06887208802748e-01 -1.36644335027736e-01
 9.90071115215634e-02 -1.32892326811493e-01
 9.15234043853440e-02 -1.29044966074873e-01
 8.43970428172224e-02 -1.25096343172615e-01
 7.76464790199521e-02 -1.21066008683938e-01
 7.12479082120208e-02 -1.16956804934115e-01
 6.51878662973747e-02 -1.12775357169981e-01
 5.94874721274203e-02 -1.08544644777150e-01
 5.41002464180900e-02 -1.04254721921824e-01
 4.90378786701877e-02 -9.99338717010917e-02
 4.43003497573340e-02 -9.55949794905035e-02
 3.98423597346805e-02 -9.12420036799431e-02
 3.56899752436130e-02 -8.68977014615930e-02
 3.18292350050659e-02 -8.25480226251934e-02
 2.82200072057900e-02 -7.81824821917382e-02
 2.48925247792698e-02 -7.38249651755798e-02
 2.18286683030035e-02 -6.94742836897216e-02
 1.89846947131332e-02 -6.50503976257317e-02
 1.63921917020335e-02 -6.06776597615079e-02
 1.40446346341990e-02 -5.64067842802785e-02
 1.18798249846349e-02 -5.21216458365007e-02
 9.93094518736226e-03 -4.79528452819300e-02
 8.21940795734749e-03 -4.39597559160414e-02
 6.65838622137879e-03 -3.98184759741078e-02
 5.26774192850643e-03 -3.56083642655661e-02
 4.09515753852961e-03 -3.13515384688042e-02
 3.09878859713642e-03 -2.67459069766694e-02
 2.19660773551101e-03 -2.17300080623129e-02
 1.46264176301869e-03 -1.71198388819312e-02
 9.64484608297922e-04 -1.33160754781383e-02
 5.99373867982851e-04 -9.48807558606880e-03
 2.90086645599082e-04 -4.59959189827085e-03
 7.80707788302466e-05 -1.13470238879122e-03
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  1.10890693055950e-03
 2.89878724192004e-04  4.23401321142384e-03
 5.98775316682048e-04  8.48701883593199e-03
 9.63326351634835e-04  1.22642639935961e-02
 1.45966821282819e-03  1.60236238212738e-02
 2.19097636449990e-03  2.06521241860275e-02
 3.08997841959778e-03  2.63920785039555e-02
 4.08271112470316e-03  3.19081012945987e-02
 5.24853124383664e-03  3.66844435113699e-02
 6.63128223001261e-03  4.13120237194448e-02
 8.18368429859057e-03  4.56509504910160e-02
 9.88361416849065e-03  4.97842226943702e-02
 1.18176401547236e-02  5.41705292510040e-02
 1.39661993216830e-02  5.86409287597036e-02
 1.62951420791042e-02  6.31259611661696e-02
 1.88631937781153e-02  6.77183560439290e-02
 2.16807137532775e-02  7.23500861347757e-02
 2.47159162958630e-02  7.69265626831222e-02
 2.80064400105864e-02  8.15301800888642e-02
 3.15762558914965e-02  8.61674749796232e-02
 3.53948396168776e-02  9.07741264604092e-02
 3.94949825480075e-02  9.53733681546318e-02
 4.38979282781582e-02  9.99749719562161e-02
 4.85758075737765e-02  1.04528008857593e-01
 5.35679916138118e-02  1.09048139635313e-01
 5.88818211488708e-02  1.13518787817709e-01
 6.45001629027313e-02  1.17907091501631e-01
 7.04692046391145e-02  1.22221832854572e-01
 7.67740309924709e-02  1.26444814124829e-01
 8.34162127168367e-02  1.30566050524150e-01
 9.04290195190656e-02  1.34594248014306e-01
