                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.310153       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.55621536187719e-03
 9.99429683992583e-01 -8.44462592972462e-03
 9.98063017832965e-01 -8.18043284279360e-03
 9.95573914266674e-01 -7.71086916044637e-03
 9.92086309749559e-01 -7.07802817021320e-03
 9.87686148675057e-01 -6.32107100816633e-03
 9.82330525170640e-01 -5.46159729577204e-03
 9.76011908335692e-01 -4.53391157334544e-03
 9.68787467298381e-01 -3.58619333123070e-03
 9.60674860259240e-01 -2.66335606057587e-03
 9.51675358763677e-01 -1.81149711868914e-03
 9.41827652746244e-01 -1.08229413619454e-03
 9.31175295355131e-01 -5.69137026361566e-04
 9.19730397431178e-01 -3.36285116398430e-04
 9.07524559194720e-01 -3.34933536365584e-04
 8.94610408070308e-01 -6.83383563526228e-04
 8.81009696499435e-01 -1.49344002978171e-03
 8.66747905197194e-01 -2.78797891411109e-03
 8.51890258171205e-01 -4.59213370911812e-03
 8.36469462621421e-01 -6.92432408778531e-03
 8.20513485943698e-01 -9.80797196179493e-03
 8.04073832217581e-01 -1.32559571120920e-02
 7.87191529885653e-01 -1.72780256201549e-02
 7.69897919101553e-01 -2.19268753643007e-02
 7.52252341235159e-01 -2.71677129544554e-02
 7.34291349178558e-01 -3.29323944989231e-02
 7.16044924955764e-01 -3.91861303707215e-02
 6.97571640033109e-01 -4.58795684343858e-02
 6.78906186433687e-01 -5.29443769517287e-02
 6.60080312620540e-01 -6.02916162084706e-02
 6.41147517137212e-01 -6.78149044394523e-02
 6.22137650968852e-01 -7.54268591992419e-02
 6.03087998194415e-01 -8.30323109721988e-02
 5.84045042118975e-01 -9.05196133687472e-02
 5.65030897687003e-01 -9.78140288754877e-02
 5.46088602779599e-01 -1.04842828834160e-01
 5.27248673916899e-01 -1.11525758376848e-01
 5.08535950506088e-01 -1.17825390592993e-01
 4.89992355470388e-01 -1.23697576718037e-01
 4.71632114506831e-01 -1.29110643104169e-01
 4.53492503744348e-01 -1.34034513369723e-01
 4.35593302897673e-01 -1.38463239716403e-01
 4.17956065616942e-01 -1.42392221188362e-01
 4.00609748442576e-01 -1.45818396509722e-01
 3.83560931606009e-01 -1.48741550868633e-01
 3.66843215733716e-01 -1.51187793318083e-01
 3.50457316320503e-01 -1.53154429748112e-01
 3.34434484008630e-01 -1.54664291273837e-01
 3.18774100329315e-01 -1.55726803585986e-01
 3.03499623121295e-01 -1.56376708884488e-01
 2.88611293565648e-01 -1.56614864952243e-01
 2.74124386665666e-01 -1.56469959208637e-01
 2.60041455523719e-01 -1.55943261555843e-01
 2.46374872015918e-01 -1.55077614243863e-01
 2.33123443938833e-01 -1.53877018949081e-01
 2.20293777810423e-01 -1.52359123466444e-01
 2.07883282965331e-01 -1.50549786504672e-01
 1.95902956391646e-01 -1.48464800082391e-01
 1.84341253066628e-01 -1.46119999587863e-01
 1.73213930954161e-01 -1.43540323815343e-01
 1.62499176129638e-01 -1.40731842232865e-01
 1.52214602777259e-01 -1.37717582681399e-01
 1.42331759398971e-01 -1.34520349227254e-01
 1.32872111539190e-01 -1.31158284141186e-01
 1.23806439629760e-01 -1.27637872631614e-01
 1.15147623386077e-01 -1.23994652130569e-01
 1.06887208802748e-01 -1.20238069522104e-01
 9.90071115215634e-02 -1.16376851864057e-01
 9.15234043853440e-02 -1.12447039078022e-01
 8.43970428172224e-02 -1.08444703784896e-01
 7.76464790199521e-02 -1.04394123548202e-01
 7.12479082120208e-02 -1.00311200675670e-01
 6.51878662973747e-02 -9.61963479719611e-02
 5.94874721274203e-02 -9.20801592340198e-02
 5.41002464180900e-02 -8.79588294721593e-02
 4.90378786701877e-02 -8.38484156719293e-02
 4.43003497573340e-02 -7.97632157733820e-02
 3.98423597346805e-02 -7.56895143806141e-02
 3.56899752436130e-02 -7.16683060155641e-02
 3.18292350050659e-02 -6.76991682314705e-02
 2.82200072057900e-02 -6.37635998392059e-02
 2.48925247792698e-02 -5.98882469119600e-02
 2.18286683030035e-02 -5.60839225350649e-02
 1.89846947131332e-02 -5.22850257277440e-02
 1.63921917020335e-02 -4.85792963343828e-02
 1.40446346341990e-02 -4.49651034369983e-02
 1.18798249846349e-02 -4.13589275192767e-02
 9.93094518736226e-03 -3.78590464122287e-02
 8.21940795734749e-03 -3.44716956754549e-02
 6.65838622137879e-03 -3.10604344576665e-02
 5.26774192850643e-03 -2.76710676547324e-02
 4.09515753852961e-03 -2.43600466876420e-02
 3.09878859713642e-03 -2.11673370855783e-02
 2.19660773551101e-03 -1.80042230153123e-02
 1.46264176301869e-03 -1.46798672439524e-02
 9.64484608297922e-04 -1.17312521810947e-02
 5.99373867982851e-04 -8.31666768813690e-03
 2.90086645599082e-04 -4.04125662343491e-03
 7.80707788302466e-05 -1.02521141205062e-03
 0.00000000000000e+00  0.00000000000000e+00
