                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.291249       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.81583709009474e-03
 9.99429683992583e-01 -8.68725018203715e-03
 9.98063017832965e-01 -8.38266699194861e-03
 9.95573914266674e-01 -7.84075068465251e-03
 9.92086309749559e-01 -7.10905814675080e-03
 9.87686148675057e-01 -6.23134874411092e-03
 9.82330525170640e-01 -5.23040900279454e-03
 9.76011908335692e-01 -4.14280387300502e-03
 9.68787467298381e-01 -3.02027022552932e-03
 9.60674860259240e-01 -1.90954017032302e-03
 9.51675358763677e-01 -8.57162284887539e-04
 9.41827652746244e-01  8.52568386070685e-05
 9.31175295355131e-01  7.92398520625960e-04
 9.19730397431178e-01  1.25802985255691e-03
 9.07524559194720e-01  1.37449446896455e-03
 8.94610408070308e-01  1.16848551502758e-03
 8.81009696499435e-01  5.35352897823590e-04
 8.66747905197194e-01 -5.50614972655636e-04
 8.51890258171205e-01 -2.10630622981267e-03
 8.36469462621421e-01 -4.15078611664554e-03
 8.20513485943698e-01 -6.71517870497285e-03
 8.04073832217581e-01 -9.82049655942403e-03
 7.87191529885653e-01 -1.34909657086014e-02
 7.69897919101553e-01 -1.77875317894192e-02
 7.52252341235159e-01 -2.26762804418907e-02
 7.34291349178558e-01 -2.80880148573867e-02
 7.16044924955764e-01 -3.39869563414714e-02
 6.97571640033109e-01 -4.03330134466133e-02
 6.78906186433687e-01 -4.70624784573399e-02
 6.60080312620540e-01 -5.40948643760123e-02
 6.41147517137212e-01 -6.13260012112652e-02
 6.22137650968852e-01 -6.86691762364209e-02
 6.03087998194415e-01 -7.60273974635628e-02
 5.84045042118975e-01 -8.32906428212621e-02
 5.65030897687003e-01 -9.03776695863234e-02
 5.46088602779599e-01 -9.72117654604032e-02
 5.27248673916899e-01 -1.03711260060150e-01
 5.08535950506088e-01 -1.09831497803284e-01
 4.89992355470388e-01 -1.15529172516490e-01
 4.71632114506831e-01 -1.20766985587031e-01
 4.53492503744348e-01 -1.25515467631235e-01
 4.35593302897673e-01 -1.29771539824657e-01
 4.17956065616942e-01 -1.33543177483803e-01
 4.00609748442576e-01 -1.36823534461232e-01
 3.83560931606009e-01 -1.39612751988857e-01
 3.66843215733716e-01 -1.41933095318004e-01
 3.50457316320503e-01 -1.43780980421762e-01
 3.34434484008630e-01 -1.45181684691699e-01
 3.18774100329315e-01 -1.46144577233847e-01
 3.03499623121295e-01 -1.46702405887489e-01
 2.88611293565648e-01 -1.46858583804372e-01
 2.74124386665666e-01 -1.46644114149150e-01
 2.60041455523719e-01 -1.46054541973995e-01
 2.46374872015918e-01 -1.45138650901386e-01
 2.33123443938833e-01 -1.43898600753399e-01
 2.20293777810423e-01 -1.42351760004257e-01
 2.07883282965331e-01 -1.40520432848729e-01
 1.95902956391646e-01 -1.38421929437772e-01
 1.84341253066628e-01 -1.36069717095030e-01
 1.73213930954161e-01 -1.33491354724233e-01
 1.62499176129638e-01 -1.30687940935743e-01
 1.52214602777259e-01 -1.27689019532475e-01
 1.42331759398971e-01 -1.24518205263518e-01
 1.32872111539190e-01 -1.21193563740986e-01
 1.23806439629760e-01 -1.17722718496658e-01
 1.15147623386077e-01 -1.14140032481851e-01
 1.06887208802748e-01 -1.10456439624277e-01
 9.90071115215634e-02 -1.06680776870594e-01
 9.15234043853440e-02 -1.02852876466912e-01
 8.43970428172224e-02 -9.89707725808784e-02
 7.76464790199521e-02 -9.50573470479677e-02
 7.12479082120208e-02 -9.11313853120552e-02
 6.51878662973747e-02 -8.71923905567318e-02
 5.94874721274203e-02 -8.32692103533667e-02
 5.41002464180900e-02 -7.93603203727435e-02
 4.90378786701877e-02 -7.54804015799290e-02
 4.43003497573340e-02 -7.16419267246513e-02
 3.98423597346805e-02 -6.78279445919973e-02
 3.56899752436130e-02 -6.40784582566780e-02
 3.18292350050659e-02 -6.03963638849836e-02
 2.82200072057900e-02 -5.67601120467582e-02
 2.48925247792698e-02 -5.32000573490072e-02
 2.18286683030035e-02 -4.97228362516193e-02
 1.89846947131332e-02 -4.62774577116948e-02
 1.63921917020335e-02 -4.29347811223816e-02
 1.40446346341990e-02 -3.96720043174838e-02
 1.18798249846349e-02 -3.64236892877618e-02
 9.93094518736226e-03 -3.32764394372432e-02
 8.21940795734749e-03 -3.02228262191026e-02
 6.65838622137879e-03 -2.71670598040061e-02
 5.26774192850643e-03 -2.42135527979158e-02
 4.09515753852961e-03 -2.13705304284812e-02
 3.09878859713642e-03 -1.86733223701237e-02
 2.19660773551101e-03 -1.60479518956998e-02
 1.46264176301869e-03 -1.31655416674483e-02
 9.64484608297922e-04 -1.05083094014546e-02
 5.99373867982851e-04 -7.36394711977730e-03
 2.90086645599082e-04 -3.57291992793965e-03
 7.80707788302466e-05 -9.19231488761896e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  9.35786303787890e-04
 2.89878724192004e-04  3.76264419900215e-03
 5.98775316682048e-04  7.88842927432425e-03
 9.63326351634835e-04  1.11158338135881e-02
 1.45966821282819e-03  1.39195240253326e-02
 2.19097636449990e-03  1.69588794885689e-02
 3.08997841959778e-03  1.98226625069066e-02
 4.08271112470316e-03  2.27834828372306e-02
 5.24853124383664e-03  2.58368094927373e-02
 6.63128223001261e-03  2.90353029835617e-02
 8.18368429859057e-03  3.23087972283087e-02
 9.88361416849065e-03  3.55429092949523e-02
 1.18176401547236e-02  3.89086630205512e-02
 1.39661993216830e-02  4.23674147357621e-02
 1.62951420791042e-02  4.58127457311967e-02
 1.88631937781153e-02  4.93475218343028e-02
 2.16807137532775e-02  5.29513555083035e-02
 2.47159162958630e-02  5.65674975480387e-02
 2.80064400105864e-02  6.02272005607241e-02
 3.15762558914965e-02  6.39386583782648e-02
 3.53948396168776e-02  6.76714939129268e-02
 3.94949825480075e-02  7.14353046582688e-02
 4.38979282781582e-02  7.52393211821429e-02
 4.85758075737765e-02  7.90405479948717e-02
 5.35679916138118e-02  8.28585389985892e-02
 5.88818211488708e-02  8.66750487740907e-02
 6.45001629027313e-02  9.04648214937832e-02
 7.04692046391145e-02  9.42497127202799e-02
 7.67740309924709e-02  9.80021700471300e-02
 8.34162127168367e-02  1.01707979295380e-01
 9.04290195190656e-02  1.05357667732874e-01
 9.77906533229447e-02  1.08934617482945e-01
 1.05536187198748e-01  1.12430844828653e-01
 1.13658760041779e-01  1.15816831702009e-01
 1.22161483318940e-01  1.19093013540197e-01
 1.31067498602735e-01  1.22238096539904e-01
 1.40354649921884e-01  1.25236172134708e-01
 1.50055110786138e-01  1.28070859929122e-01
 1.60148962661562e-01  1.30726860845353e-01
 1.70658187899640e-01  1.33192504363424e-01
 1.81574957422924e-01  1.35443696877714e-01
 1.92907571409635e-01  1.37465490276676e-01
 2.04657634577812e-01  1.39253895976599e-01
 2.16817353069424e-01  1.40788608712237e-01
 2.29396483963478e-01  1.42065068068689e-01
 2.42377800694080e-01  1.43084177256729e-01
 2.55773624268338e-01  1.43839592078405e-01
 2.69566785632899e-01  1.44322251712847e-01
 2.83765797226135e-01  1.44511758910200e-01
 2.98347982887804e-01  1.44430908990453e-01
 3.13318978785268e-01  1.44057102419621e-01
 3.28658461892810e-01  1.43402061824768e-01
 3.44364941645546e-01  1.42483338907718e-01
 3.60419773725681e-01  1.41283873887435e-01
 3.76811233766957e-01  1.39812370433262e-01
 3.93525251020729e-01  1.38084064668032e-01
 4.10538642553571e-01  1.36086252283623e-01
 4.27843232490823e-01  1.33840812652337e-01
 4.45406663468198e-01  1.31357154176172e-01
 4.63222254103030e-01  1.28644129769191e-01
 4.81251545655716e-01  1.25701869732225e-01
 4.99481026671737e-01  1.22556138768600e-01
 5.17879583085697e-01  1.19211735873977e-01
 5.36417631367010e-01  1.15708252993179e-01
 5.55075704909560e-01  1.12060496059204e-01
 5.73808427242608e-01  1.08265223584275e-01
 5.92596731105059e-01  1.04343481603489e-01
 6.11401377553511e-01  1.00317291338765e-01
 6.30186430605241e-01  9.61943619650499e-02
 6.48926781663159e-01  9.19994659076410e-02
 6.67570206424973e-01  8.77440527267358e-02
 6.86088429590952e-01  8.34396426884473e-02
 7.04445389043917e-01  7.91243892401727e-02
 7.22592093722966e-01  7.47919278143742e-02
 7.40501800453524e-01  7.04726596615412e-02
 7.58125457122835e-01  6.61937036909432e-02
 7.75421014376153e-01  6.19709531961967e-02
 7.92362373587600e-01  5.78263623103167e-02
 8.08894546151696e-01  5.37753961076522e-02
 8.24974633014891e-01  4.98240645452209e-02
 8.40576952273409e-01  4.60021644937386e-02
 8.55652758808818e-01  4.23165934908975e-02
 8.70162898882712e-01  3.87913908383669e-02
 8.84085033071272e-01  3.54300082560203e-02
 8.97361214262371e-01  3.22445857620160e-02
 9.09954680076662e-01  2.92448875669598e-02
 9.21851471402547e-01  2.64386421071992e-02
 9.33012836658427e-01  2.38384055546914e-02
 9.43389278969050e-01  2.14412026106715e-02
 9.52973153850560e-01  1.92290120426512e-02
 9.61743130827061e-01  1.72053062564567e-02
 9.69640690675464e-01  1.53835273975574e-02
 9.76664215898664e-01  1.37639336943595e-02
 9.82815077112014e-01  1.23460638077808e-02
 9.88028440045103e-01  1.11446953988857e-02
 9.92304836603751e-01  1.01595311180988e-02
 9.95693518775914e-01  9.37906757384138e-03
 9.98120489340015e-01  8.82021124216103e-03
 9.99443037908705e-01  8.51570921979720e-03
 1.00000000000000e+00  8.38748352047771e-03
