variables,type,units,values,description
floatingse.member2.section_rho,output,kg/m**3,"[ 11742.43466638 255191.7335828  255191.7335828   11742.43466638
  11742.43466638   7800.           7800.           7800.
   7800.           7800.           7800.           7800.
   7800.           7800.           7800.           7800.
   7800.           7800.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.        ]",
floatingse.member2.section_E,output,Pa,"[ 2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member2.section_G,output,Pa,"[ 7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member2.section_sigma_y,output,Pa,"[ 3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member3.section_height,output,m,[ 1.75   1.75   2.499  1.001 27.545  0.455],
floatingse.member3.sigma_ult,output,Pa,[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08],
floatingse.member3.wohler_exp,output,,[3. 3. 3. 3. 3. 3.],
floatingse.member3.wohler_A,output,,"[3.55346484e+10 3.55346484e+10 3.55346484e+10 3.55346484e+10
 3.55346484e+10 3.55346484e+10]",
floatingse.member3.z_param,output,m,[-20.    -18.25  -16.5   -14.001 -13.     14.545  15.   ],
floatingse.member3.sec_loc,output,,[0.         0.05162623 0.11430046 0.16592669 0.58699019 1.        ],normalized sectional location
floatingse.member3.str_tw,output,deg,[0. 0. 0. 0. 0. 0.],structural twist of section
floatingse.member3.tw_iner,output,deg,[0. 0. 0. 0. 0. 0.],inertial twist of section
floatingse.member3.mass_den,output,kg/m,"[15254.00312951 15254.00312951 15254.00312951 15254.00312951
 15254.00312951 15254.00312951]",sectional mass per unit length
floatingse.member3.foreaft_iner,output,kg*m,"[295555.84438612 295555.84438612 295555.84438612 295555.84438612
 295555.84438612 295555.84438612]",sectional fore-aft intertia per unit length about the Y_G inertia axis
floatingse.member3.sideside_iner,output,kg*m,"[295555.84438612 295555.84438612 295555.84438612 295555.84438612
 295555.84438612 295555.84438612]",sectional side-side intertia per unit length about the Y_G inertia axis
floatingse.member3.foreaft_stff,output,N*m**2,"[7.57835498e+12 7.57835498e+12 7.57835498e+12 7.57835498e+12
 7.57835498e+12 7.57835498e+12]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
floatingse.member3.sideside_stff,output,N*m**2,"[7.57835498e+12 7.57835498e+12 7.57835498e+12 7.57835498e+12
 7.57835498e+12 7.57835498e+12]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
floatingse.member3.tor_stff,output,N*m**2,"[6.0096355e+12 6.0096355e+12 6.0096355e+12 6.0096355e+12 6.0096355e+12
 6.0096355e+12]",sectional torsional stiffness
floatingse.member3.axial_stff,output,N,"[3.91128285e+11 3.91128285e+11 3.91128285e+11 3.91128285e+11
 3.91128285e+11 3.91128285e+11]",sectional axial stiffness
floatingse.member3.cg_offst,output,m,[0. 0. 0. 0. 0. 0.],offset from the sectional center of mass
floatingse.member3.sc_offst,output,m,[0. 0. 0. 0. 0. 0.],offset from the sectional shear center
floatingse.member3.tc_offst,output,m,[0. 0. 0. 0. 0. 0.],offset from the sectional tension center
floatingse.member3.axial_load2stress,output,m**2,"[[0.         0.         0.51134118 0.16494345 0.16494345 0.        ]
 [0.         0.         0.51134118 0.16494345 0.16494345 0.        ]
 [0.         0.         0.51134118 0.16494345 0.16494345 0.        ]
 [0.         0.         0.51134118 0.16494345 0.16494345 0.        ]
 [0.         0.         0.51134118 0.16494345 0.16494345 0.        ]
 [0.         0.         0.51134118 0.16494345 0.16494345 0.        ]]",
floatingse.member3.shear_load2stress,output,m**2,"[[0.84064179 0.84064179 0.         0.         0.         0.08247172]
 [0.84064179 0.84064179 0.         0.         0.         0.08247172]
 [0.84064179 0.84064179 0.         0.         0.         0.08247172]
 [0.84064179 0.84064179 0.         0.         0.         0.08247172]
 [0.84064179 0.84064179 0.         0.         0.         0.08247172]
 [0.84064179 0.84064179 0.         0.         0.         0.08247172]]",
floatingse.member3.constr_d_to_t,output,,[250. 250. 250. 250. 250. 250.],
floatingse.member3.constr_taper,output,,[1. 1. 1. 1. 1. 1.],
floatingse.member3.slope,output,,[1. 1. 1. 1. 1. 1.],
floatingse.member3.thickness_slope,output,,[1. 1. 1. 1. 1.],
floatingse.member3.nu_full,output,,"[0.26103405 0.26103405 0.26103405 0.26103405 0.26103405 0.26103405
 0.26103405 0.26103405 0.26103405 0.26103405 0.26103405 0.26103405]",
floatingse.member3.nodes_r,output,m,[6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25 6.25],
floatingse.member3.z_global,output,m,"[-20.     -19.125  -18.25   -17.375  -16.5    -15.2505 -14.001  -13.5005
 -13.       0.7725  14.545   14.7725  15.    ]",
floatingse.member3.center_of_buoyancy,output,m,[ 25.87499781 -44.81681591 -10.        ],
floatingse.member3.displacement,output,m**3,[2454.36926062],
floatingse.member3.buoyancy_force,output,N,[24670063.78425322],
floatingse.member3.idx_cb,output,,[8.],
floatingse.member3.Awater,output,m**2,[122.71846303],
floatingse.member3.Iwater,output,m**4,[1198.42249054],
floatingse.member3.added_mass,output,kg,"[ 2515728.49213245  2515728.49213245   333658.85416667 83861851.53061916
 83861851.53061916        0.        ]",
floatingse.member3.waterline_centroid,output,m,[ 25.87499781 -44.81681591],
floatingse.member3.z_dim,output,m,"[-20.     -19.125  -18.25   -17.375  -16.5    -15.2505 -14.001  -13.5005
 -13.       0.7725  14.545   14.7725  15.    ]",
floatingse.member3.d_eff,output,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.shell_cost,output,USD,[1359687.8239035],
floatingse.member3.shell_mass,output,kg,[533890.10953268],
floatingse.member3.shell_z_cg,output,m,[17.5],
floatingse.member3.shell_I_base,output,kg*m**2,"[2.28349583e+08 2.28349583e+08 2.06889091e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member3.bulkhead_mass,output,kg,[188390.00170223],
floatingse.member3.bulkhead_z_cg,output,m,[10.9375],
floatingse.member3.bulkhead_cost,output,USD,[179152.12708949],
floatingse.member3.bulkhead_I_base,output,kg*m**2,"[61956879.55357097 61956879.55357097  3620855.8327168         0.
        0.                0.        ]",
floatingse.member3.stiffener_mass,output,kg,[0.],
floatingse.member3.stiffener_z_cg,output,m,[0.],
floatingse.member3.stiffener_cost,output,USD,[0.],
floatingse.member3.stiffener_I_base,output,kg*m**2,[0. 0. 0. 0. 0. 0.],
floatingse.member3.flange_spacing_ratio,output,,[0.],
floatingse.member3.stiffener_radius_ratio,output,,"[-9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.member3.constr_flange_compactness,output,,[0.],
floatingse.member3.constr_web_compactness,output,,[0.],
floatingse.member3.ballast_cost,output,USD,[846666.665],
floatingse.member3.ballast_mass,output,kg,[846666.665],
floatingse.member3.ballast_height,output,,[0.04006279 0.        ],
floatingse.member3.ballast_z_cg,output,m,[0.70109878],
floatingse.member3.ballast_I_base,output,kg*m**2,"[ 8691360.12359765  8691360.12359765 16272933.3013            0.
        0.                0.        ]",
floatingse.member3.variable_ballast_capacity,output,m**3,[634.00481342],
floatingse.member3.variable_ballast_Vpts,output,m**3,"[  0.          70.44497927 140.88995854 211.33493781 281.77991708
 352.22489634 422.66987561 493.11485488 563.55983415 634.00481342]",
floatingse.member3.variable_ballast_spts,output,,"[0.05       0.06666667 0.08333333 0.1        0.11666667 0.13333333
 0.15       0.16666667 0.18333333 0.2       ]",
floatingse.member3.constr_ballast_capacity,output,,[0.80125574 0.        ],
floatingse.member3.total_mass,output,kg,[1568946.7762349],
floatingse.member3.total_cost,output,USD,[2385506.615993],
floatingse.member3.structural_mass,output,kg,[722280.1112349],
floatingse.member3.structural_cost,output,USD,[1538839.950993],
floatingse.member3.z_cg,output,m,[7.64665169],
floatingse.member3.I_total,output,kg*m**2,"[2.07259493e+08 2.07259493e+08 4.05826982e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
floatingse.member3.s_all,output,,"[ 0.00000000e+00  1.42857143e-03  2.50000000e-02  4.92857143e-02
  5.00000000e-02  5.07142857e-02  7.50000000e-02  1.00000000e-01
  1.35700000e-01  1.71400000e-01  1.85700000e-01  1.99285714e-01
  2.00000000e-01  2.00714286e-01  5.93500000e-01  9.87000000e-01
  9.93500000e-01  9.98571429e-01  1.00000000e+00 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member3.center_of_mass,output,m,[ 25.87499781 -44.81681591 -12.35334831],
