variables,type,units,values,description
blade.pa.chord_opt,input,m,"[5.2        5.22650407 5.31940068 5.45807455 5.60303811 5.71828659
 5.76463061 5.71505311 5.53918229 5.29078046 5.03400569 4.81566004
 4.62323753 4.43204022 4.24519817 4.06576739 3.89604023 3.73508417
 3.57920635 3.42458014 3.26794659 3.11185969 2.95714018 2.80002199
 2.63678999 2.46413177 2.28345025 2.09568171 1.90248511 0.5       ]",1D array of the chord being optimized at the n_opt locations.
blade.interp_airfoils.af_position,input,,"[0.         0.02       0.15       0.24517032 0.32884395 0.43917935
 0.53767141 0.63820766 0.77174385 1.        ]",1D array of the non dimensional positions of the airfoils af_used defined along blade span.
blade.interp_airfoils.s,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.interp_airfoils.pitch_axis,input,,"[0.50454545 0.47827279 0.44670373 0.41436717 0.38523403 0.35900232
 0.33870888 0.32516685 0.31656844 0.31090127 0.30683535 0.30292985
 0.29844984 0.2940508  0.29066184 0.28847105 0.28784166 0.28831579
 0.29015462 0.29322837 0.2972375  0.30199603 0.30725011 0.31256727
 0.31843499 0.32575139 0.33426619 0.3437327  0.35493039 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.interp_airfoils.chord,input,m,"[5.2        5.22650407 5.31940068 5.45807455 5.60303811 5.71828659
 5.76463061 5.71505311 5.53918229 5.29078046 5.03400569 4.81566004
 4.62323753 4.43204022 4.24519817 4.06576739 3.89604023 3.73508417
 3.57920635 3.42458014 3.26794659 3.11185969 2.95714018 2.80002199
 2.63678999 2.46413177 2.28345025 2.09568171 1.90248511 0.5       ]",1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,input,,[0.5   0.316 0.25  0.25  0.25  0.25  0.25  0.25 ],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick_discrete,input,,[1.    0.5   0.211 0.241 0.27  0.301 0.33  0.36 ],1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,input,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,input,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[-1.50837428e-03]
   [-1.50837428e-03]
   [-1.50837428e-03]]

  [[ 1.31682666e-01]
   [ 1.31682666e-01]
   [ 1.31682666e-01]]

  [[ 2.64729601e-01]
   [ 2.64729601e-01]
   [ 2.64729601e-01]]

  ...

  [[-2.64645726e-01]
   [-2.64645726e-01]
   [-2.64645726e-01]]

  [[-1.31632043e-01]
   [-1.31632043e-01]
   [-1.31632043e-01]]

  [[ 1.50769284e-03]
   [ 1.50769284e-03]
   [ 1.50769284e-03]]]


 [[[-2.29221546e-03]
   [-2.29221546e-03]
   [-2.29221546e-03]]

  [[ 7.10715368e-02]
   [ 7.10715368e-02]
   [ 7.10715368e-02]]

  [[ 1.41815725e-01]
   [ 1.41815725e-01]
   [ 1.41815725e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.10715368e-02]
   [-7.10715368e-02]
   [-7.10715368e-02]]

  [[ 2.29221546e-03]
   [ 2.29221546e-03]
   [ 2.29221546e-03]]]


 ...


 [[[-2.76134805e-03]
   [-2.76134805e-03]
   [-2.76134805e-03]]

  [[ 8.56172786e-02]
   [ 8.56172786e-02]
   [ 8.56172786e-02]]

  [[ 1.70840212e-01]
   [ 1.70840212e-01]
   [ 1.70840212e-01]]

  ...

  [[-1.70840249e-01]
   [-1.70840249e-01]
   [-1.70840249e-01]]

  [[-8.56172786e-02]
   [-8.56172786e-02]
   [-8.56172786e-02]]

  [[ 2.76134805e-03]
   [ 2.76134805e-03]
   [ 2.76134805e-03]]]


 [[[-2.95310480e-03]
   [-2.95310480e-03]
   [-2.95310480e-03]]

  [[ 9.15628133e-02]
   [ 9.15628133e-02]
   [ 9.15628133e-02]]

  [[ 1.82703897e-01]
   [ 1.82703897e-01]
   [ 1.82703897e-01]]

  ...

  [[-1.82703937e-01]
   [-1.82703937e-01]
   [-1.82703937e-01]]

  [[-9.15628133e-02]
   [-9.15628133e-02]
   [-9.15628133e-02]]

  [[ 2.95310480e-03]
   [ 2.95310480e-03]
   [ 2.95310480e-03]]]


 [[[-3.04559948e-03]
   [-3.04559948e-03]
   [-3.04559948e-03]]

  [[ 9.44306672e-02]
   [ 9.44306672e-02]
   [ 9.44306672e-02]]

  [[ 1.88426396e-01]
   [ 1.88426396e-01]
   [ 1.88426396e-01]]

  ...

  [[-1.88426437e-01]
   [-1.88426437e-01]
   [-1.88426437e-01]]

  [[-9.44306672e-02]
   [-9.44306672e-02]
   [-9.44306672e-02]]

  [[ 3.04559948e-03]
   [ 3.04559948e-03]
   [ 3.04559948e-03]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd,input,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  ...

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]]


 [[[0.02464074]
   [0.02464074]
   [0.02464074]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  ...

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02464074]
   [0.02464074]
   [0.02464074]]]


 ...


 [[[0.02453927]
   [0.02453927]
   [0.02453927]]

  [[0.02554479]
   [0.02554479]
   [0.02554479]]

  [[0.02867191]
   [0.02867191]
   [0.02867191]]

  ...

  [[0.02867191]
   [0.02867191]
   [0.02867191]]

  [[0.02554479]
   [0.02554479]
   [0.02554479]]

  [[0.02453927]
   [0.02453927]
   [0.02453927]]]


 [[[0.0316851 ]
   [0.0316851 ]
   [0.0316851 ]]

  [[0.03268111]
   [0.03268111]
   [0.03268111]]

  [[0.03577857]
   [0.03577857]
   [0.03577857]]

  ...

  [[0.03577858]
   [0.03577858]
   [0.03577858]]

  [[0.03268111]
   [0.03268111]
   [0.03268111]]

  [[0.0316851 ]
   [0.0316851 ]
   [0.0316851 ]]]


 [[[0.03714706]
   [0.03714706]
   [0.03714706]]

  [[0.0381358 ]
   [0.0381358 ]
   [0.0381358 ]]

  [[0.0412106 ]
   [0.0412106 ]
   [0.0412106 ]]

  ...

  [[0.0412106 ]
   [0.0412106 ]
   [0.0412106 ]]

  [[0.0381358 ]
   [0.0381358 ]
   [0.0381358 ]]

  [[0.03714706]
   [0.03714706]
   [0.03714706]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
